"2013-11-01", "Viralheat", "Software Engineer", "Privately Held; 11-50 employees; Marketing and Advertising industry", "abdulasim", "2012-05-01", "j", "Graduate Assistant at the Walton College of Business for Dr. Viswanath Venkatesh. Worked on an information systems journal ranking project. Tool used by universities world over to rank their information systems researchers.",
"", "University of Arkansas at Fayetteville", "MIS", "Information Systems", "abdulasim", "", "e", "",
"", "B.S.A Crescent Engineering College", "B.Tech", "Information Technology", "abdulasim", "", "e", "",
"2014-01-26", "Cisco Systems", "Program Manager", "Public Company; 10,001+ employees; CSCO; Computer Networking industry", "abmorton", "2013-03-01", "j", "Program Manager for Cisco's Application Globalization team with Emerge Partners",
"2013-03-01", "Be Sport", "Project and Product Manager", "", "abmorton", "2012-06-01", "j", "Communications, Product and Project Management",
"2012-04-01", "Crimson Life Sciences", "Project Coordinator", "", "abmorton", "2011-11-01", "j", "Managed up to twelve localization projects at a time; coordinated as many as seventy medical professionals across the world on a single project; focused on Critical Chain and Critical Path methodologies; experience in implementing ISO 9001:2008, ISO 13485:2003, and ISO 14971:2009 certified Quality and Risk Management Systems and practices; cross-trained in Linguistic Quality Assurance, Formatting Quality Assurance, and Linguistic Risk Analysis; acted as the chief production center for every project, taking ownership and responsibility for every detail; Special Operations Team; produced $70,000 in monthly revenue.",
"2011-06-01", "South Houston High School", "Chess Teacher", "", "abmorton", "2009-05-01", "j", "·Addressed the needs of learners at a variety of skill levels. ·Developed individualized pedagogical approaches for each team member, based on their strengths, weaknesses, and learning styles.",
"2011-06-01", "South Houston High School", "Academic Decathlon Project Manager and Coach", "", "abmorton", "2009-05-01", "j", "· Communicated my vision and goals for the team with the school principal in order to acquire the resources necessary for the project · Performed all administrative duties · Recruited a team based on very specific parameters · Team achieved highest local score of all time, more than doubling results from previous years",
"2011-06-01", "South Houston High School", "French Teacher", "", "abmorton", "2008-06-01", "j", "Designed the campus scope and sequence of the French I curriculum; responsible for group and individual teaching.",
"", "University of Saint Thomas", "Master of Education", "progress; Secondary Education", "abmorton", "", "e", "",
"", "University of Houston", "B.B.A., B.A.", "Marketing and French", "abmorton", "", "e", "",
"2014-01-26", "Wealthfront Inc.", "Staff Software Engineer", "Privately Held; 11-50 employees; Financial Services industry", "adamcataldo", "2013-05-01", "j", "DJ Scrooge is an open-source backtesting API. I wrote it to make it easy to test your trading ideas before you gamble your fortunes. Check it out at:",
"2014-01-26", "DJ Scrooge", "Main Contributor", "", "adamcataldo", "2012-05-01", "j", "I lead the International Engineering team at Linked in. We were responsible for building and supporting the technology and tools to enable translation, localization, and globalization of all LinkedIn.com and Enterprise products, and supporting all global engineering teams. I was playing the manager role on this effort, particularly focused on organizing cross-team activities and keeping us focused on delivering quality product on time. I also developed Quick Deploy, a project which changed the way we wrote code at LinkedIn. (It was later renamed QEI.) It lead to a 20% productivity boost across the engineering organization at LinkedIn.",
"2013-04-01", "LinkedIn", "Senior Software Engineer", "Public Company; 1001-5000 employees; LNKD; Internet industry", "adamcataldo", "2010-10-01", "j", "While at Agilent, I was the lead engineer behind Command Expert: http://tinyurl.com/AgilentCommandExpert This is a PC application to integrate electronic test integration into Excel, Matlab, LabView, and other analysis applications. I came up with the basic idea, worked with customers to make it better, and implemented most of the UI. Prior to that, I worked on programming languages and user interfaces for distributed, real-time systems. This work was focused on electronic test customers who were using IEEE 1588 for clock synchronization in measurement applications: http://www.nist.gov/el/isd/ieee/ieee1588.cfm",
"2010-09-01", "Agilent Technologies", "R&D Software Engineer", "Public Company; 10,001+ employees; A; Biotechnology industry", "adamcataldo", "2006-05-01", "j", "While getting my PhD, I worked on three main project areas: control systems, simulation, and making CAD systems scale. Details of all my projects, including publications and presentations can be found at: http://ptolemy.eecs.berkeley.edu/ Of this work, my master's project stands out as one of the more fun projects I ever worked on. I designed control algorithms to prevent pilots from flying aircraft into restricted airspace. This was inspired by the 9/11 terrorist attacks, and it was the most publicly visible project I have ever worked on. Due to the relevance of this project to the wider community, I regularly presented my work to journalists, government officials, and corporate executives, in addition to other researchers.",
"2006-12-01", "UC Berkeley", "Graduate Student Researcher", "Educational Institution; 10,001+ employees; Higher Education industry", "adamcataldo", "2001-11-01", "j", "While getting my EE degree, I spent two summers and two part-time school years working on medical imaging research. When a patient has man-made metal in their body, like a metal filling or a knee pin, traditional CT scans of the area become too blurry for doctors to work with. Working with professors and graduate students, I implemented algorithms in cases when the shape and composition of the medical object were known. I also sped up some legacy code by a factor of 400, enabling radiation oncologists to use this technology during the treatment of cervical cancer. I worked with doctors at the Washington University Medical Center to apply this technology to the treatment of advanced cervical cancer.",
"2001-05-01", "Washington University in St. Louis", "Undergraduate Researcher", "Educational Institution; 10,001+ employees; Higher Education industry", "adamcataldo", "1999-05-01", "j", "This patent describes a user interface for specifying a program that will run on a distributed system. It applies to distributed systems where the components synchronize their clocks. A user can specify the time and device for which each action should occur. Code is generated and deployed to the entire system from such a specification.",
"", "University of California, Berkeley", "PhD", "Electrical Engineering and Computer Science", "adamcataldo", "", "e", "",
"", "University of California, Berkeley", "MS", "EECS", "adamcataldo", "", "e", "",
"", "Washington University in St. Louis", "BS", "EE", "adamcataldo", "", "e", "",
"2014-01-26", "Snappening.com", "Data Manager", "Privately Held; 1-10 employees; Internet industry", "africahands", "2013-05-01", "j", "Responsible for venue research and account maintenance for the most comprehensive event planning database available online in central Indiana.",
"2014-01-26", "Self-Employed", "Independent Information Professional | Career and Transitions Coach | Writer", "", "africahands", "2007-11-01", "j", "I provide special project library and information services to clients. Services include but are not limited to search engine annotation, reference, literature reviews, research using proprietary online databases, collection organization, and social media training. I also serve as a referee and writer for a professional journal, write reviews of online resources and search engines for FreePint, and contribute to the blog ResourceShelf which focuses on online resources for library and information professionals.",
"2007-05-01", "Graduate Theological Union", "Institutional Research Coordinator", "Educational Institution; 51-200 employees; Higher Education industry", "africahands", "2005-06-01", "j", "I conducted data retrievals from institution database and outside data systems; developed and implemented improved work flow processes; produced ad hoc and regular reports for academic departments; ensured compliance with federal reporting standards and reported data to federal agencies.",
"2007-05-01", "Contra Costa County", "Library Assistant", "", "africahands", "2005-05-01", "j", "I provided quality reference services to library patrons; assisted patorns with computer problems; and assisted patrons in the selection of appropriate books and materials.",
"2005-05-01", "Golden Gate University", "Asst. Director of Admissions and Advising", "Educational Institution; 201-500 employees; Higher Education industry", "africahands", "2004-02-01", "j", "I managed a large caseload of undergraduate and graduate students, reviewed admissions applications, advised students on academic programs, coordinated review process for students on academic probation, and conducted study skills workshops. In this role I worked with re-entry adult students as well as traditional-age students.",
"", "International Coach Academy", "MLIS", "Coach training program", "africahands", "", "e", "",
"", "San Jose State University", "MA", "Library and Information Science", "africahands", "", "e", "",
"", "Golden Gate University", "BA", "Counseling Psychology", "africahands", "", "e", "",
"2014-01-26", "Wipro", "Lead SAP Basis Solution Manager SME", "Public Company; 10,001+ employees; WIT; Information Technology and Services industry", "ahmedfareeduddin", "2013-04-01", "j", "Sealed Air is a global leader in food safety and security, facility hygiene and product protection. With widely recognized and inventive brands such as Bubble Wrap® brand cushioning, Cryovac® brand food packaging solutions and DiverseyTM brand cleaning and hygiene solutions, Sealed Air offers efficient and sustainable solutions that create business value for customers, enhance the quality of life for consumers and provide a cleaner and healthier environment for future generations. Sealed Air generated revenue of approximately $7.6 billion in 2012, and has approximately 25,000 employees who serve customers in 175 countries.",
"2014-01-26", "Sealed Air Corporation", "Lead SAP Basis Solution Manager SME", "Public Company; 10,001+ employees; SEE; Packaging and Containers industry", "ahmedfareeduddin", "2013-04-01", "j", "CHARM Configuration and Setup for Solution Manager 7.1 Resolving issues (Urgent Correction, Normal Correction) Fetching the landscape information from Platform Basis Cross-checking the TMS parameters in the platform. Fetching the transport route details between the clients. Cross-checking the BCOS_CUST table entry and sap note in all satellite systems. Providing detailed information/notes to platform basis and security to accomplish the integration activities. Host daily calls with platform basis and security to fetch the latest updates. Posting the daily updates/issues to stake holders and PM. Fetching the evidences for all integration activities for documentation purpose.",
"2013", "SAP", "Solution Manager Consultant (Remote Project)", "Public Company; 10,001+ employees; SAP; Computer Software industry", "ahmedfareeduddin", "2013", "j", "End Client - WE Energy Upgraded SAP Solution Manager systems (stage system and production system) from version 7.01 to 7.1, including the most recent support package (SP07) Upgraded/patch Wily Introscope to supported version for Solution Manager 7.1 integration Converted monitoring agents from SMD to DAA on all currently monitored systems (central instances of ECC, SRM, BW, etc.) Re-configured Solution Manager monitoring and alerting of the currently monitored SAP systems Configured new alerting, monitoring, and root cause analysis for all systems Integrated Solution Manager 7.1 to HP Openview – send alerts from Solution Manager to HP Network Management Center (HP Openview) to enable notifications through Remedy incidents (email and paging) Install DAA monitoring agents on remaining, currently not monitored systems – includes ABAP application servers, Adobe Document Services, Process Integration 7.3, etc. Configured Solution Manager 7.1 monitoring and alerting of the BusinessObjects 4.1 environment Created Documentation and cross-training related to configuring monitoring, alerting Have Setup dashboards for monitoring for BW/BOBJ Dashboard.",
"2013-03-01", "We Energies", "SAP BASIS SME", "Public Company; 1001-5000 employees; WEC; Utilities industry", "ahmedfareeduddin", "2012-10-01", "j", "Responsible for SAP application, infrastructure architectures, SAN, platform technologies including Windows and VMware virtualization solutions for SAP",
"2013", "Depuy Synthes (a Johnson and Johnson Company)", "SAP Basis Security Consultant (Remote Project)", "Public Company; 5001-10,000 employees; Medical Devices industry", "ahmedfareeduddin", "2012", "j", "Worked across all phases of the project (Project Prep, Business Blueprint, Realization, Final Preparation, Go-Live and then into ongoing Production Support).Responsible to report progress to goals, identifying key risks and mitigation strategies, provided direct support for other process teams. As a SAP Basis CRM Consultant took care of installing groupware on a server, configured groupware to work with Exchange 2010 and CRM 7.0 and provided Basis support to ensure the current SAP CRM project to be completed on time. • Installed, configured, tune, support CRM system Landscape implementing Interaction Center using Web client, IPC, Sales, Service, Campaign Management, and Channel Management. • TREX Configuration, Mobile Infrastructure, configuration for CRM, SCM,SRM • Setup and configure CRM Middleware component with ECC • Responsible for SPAM/SAINT update, apply Online Service System (OSS) Notes, Support Package upgrades for SAP R/3, BW, CRM, and SRM, Plug-Ins installation using SAINT, Import the most recent Kernel • Installed Various Dual Stack (ABAP/Java) systems like ECC 6, SRM 7.0, CRM 7.0 and PI (XI) 7.0 systems and worked on configuring the systems • Troubleshoot middleware issues with CRM • Installed SAP CRM Components which includes CRM Sales, CRM Marketing, CRM Mobile Infrastructure components • Configured SSO for portal with CRM and BI systems & involved in PI configuration • Installed and performed Post installation activities for CRM 7.0 • Performed administration of CRM (Alert monitoring, Inbound and outbound queues, Monitoring cockpit) • Actively participated in the installation of CRM 7.0 Server and its Components • Tuned CRM server with its components and troubleshot the user level problems",
"2012-09-01", "Tesla Motors", "Sr SAP Basis Security Consultant", "Public Company; 1001-5000 employees; tsla; Automotive industry", "ahmedfareeduddin", "2012-05-01", "j", "Worked for Delek US Holdings through Cognizant Technology Solutions. Responsible for Installation and configuration for the solution manager 7.1 with the phases (system preparation, Basic Configuration Managed system configuration & Technical monitoring). Implemented and configured BPM, E2E, CHARM, Service Desk on solution manager 7.1",
"2012", "Mitsubishi Electric Automation, Inc", "SAP Basis CRM Consultant (Remote Project)", "Privately Held; 201-500 employees; Industrial Automation industry", "ahmedfareeduddin", "2012", "j", "Zaffera has been acquired by Cognizant",
"2012-05-01", "Cognizant Technology Solutions", "SAP Basis Solution Manager Consultant", "Public Company; 10,001+ employees; CTSH; Information Technology and Services industry", "ahmedfareeduddin", "2011-10-01", "j", "Lead the Basis team in successful application management support, including assigning members'responsibilities, work plan, and support coverage Manage all team issues, including resource needs and work assignment Manage day-to-day cross tower activities and issues",
"2012-05-01", "Delek", "SAP Basis Solution Manager Consultant", "Public Company; 1001-5000 employees; DELKG; Oil & Energy industry", "ahmedfareeduddin", "2011-09-01", "j", "Rank No: 53",
"", "Jawaharlal Nehru Technological University", "B.Tech", "2001", "ahmedfareeduddin", "", "e", "",
"", "Osmania University", "M.B.A", "Finance and Information System", "ahmedfareeduddin", "", "e", "",
"2014-01-26", "Magellan Health Services", "IT Project Manager", "Public Company; 1001-5000 employees; MGLN; Hospital & Health Care industry", "aldebord", "2010-08-01", "j", "IT Project Manager System Development",
"2010-03-01", "Consulting", "Director of Technology", "", "aldebord", "2007-11-01", "j", "Project Management Technician Supervisor Vendor Interface St. Louis Cardinals Major Projects MLB Interface and Primary Contact IT Infrastructure Design and Management Microsoft Software Licensing",
"2007-10-01", "St. Louis Cardinals", "Mgr. I.T.", "Privately Held; 51-200 employees; Sports industry", "aldebord", "2001-01-01", "j", "Information Technology Major Project Manager, System Design & Development, Budgeting, New Technology Analysis and Implementation, Technical Vendor Management, Major League Baseball (MLB) Club IT Management Contact - New Stadium IT Infrastructure Design and Implementation Project Manager and Infrastructure Documentation Specialist",
"", "Maryville University of Saint Louis", "B.S.", "Business Mgmt, Info Systems", "aldebord", "", "e", "",
"2014-01-26", "Fundación Nao Victoria", "Fotógrafo", "", "alemallado", "2013-01-01", "j", "Fotógrafo documentalista y tripulante a bordo del Galeón Andalucía en su Gira Iberoamericana 2013-14, embarcación que ha cruzado el Atlántico 300 años después de la Ruta de Indias para atracar en Santo Domingo y San Juan de Puerto Rico difundiendo los valores de la Constitución de La Pepa de 1812. Posteriormente formamos parte de los actos conmemorativos del 500 Centenario del Descubrimiento de Florida por Juan Ponce de León en colaboración con la fundación Visit Florida. Miami, Cabo Cañaveral, Fort Lauderdale, Saint Augustine, New York y Ocean City fueron nuestros destinos. Tras este periplo, volvemos en el Galeón a Puerto Rico para participar durante 4 meses en el rodaje de la serie de la NBC "Crossbones" donde realizo labores de foto fija. Actualmente mantenemos atraque de regreso en Saint Augustine, Florida, durante 6 meses como abanderados del 450 Aniversario de la fundación de la ciudad por los españoles, en el que sería el primer asentamiento europeo en el continente americano.",
"2013-01-01", "Centro de Imagen y Belleza Cervantes", "Asistente, Fotógrafo y Diseñador", "", "alemallado", "2012-07-01", "j", "Trabajo al frente del estudio fotográfico realizando las labores de atención al cliente, gestión de revelado, fotografía de estudio, reportajes de boda y comuniones, retratos, fotografía DNI, retoque y edición fotográfica, maquetación de álbumes fotográficos y digitales, restauración de fotografías.....",
"2012-07-01", "Ale Mallado", "Fotógrafo Freelance", "", "alemallado", "2008", "j", "- Fotógrafo - Diseñador gráfico para web corporativa, redes sociales y publicidad de la empresa - Community manager - Ventas",
"2011-08-01", "La Bicoca", "Diseñador Gráfico", "", "alemallado", "2010-02-01", "j", "Como fotógrafo del Galeón Andalucía desempeñé las labores propias de marinero durante 6 meses y recibí adiestramiento en navegación durante las travesías.",
"", "Escuela de fotografía Cobertura Photo, Sevilla", "Fotografía Digital Avanzada", "Diseño gráfico", "alemallado", "", "e", "",
"2014-01-26", "Chambre de Commerce et d'Industrie de la Rive Sud", "Chargé de Projets", "secteur Marketing and Advertising", "alexandrehermouet", "2012-08-01", "j", "- Optimisation de sites Web et blogs (secteur de la restauration) avec textes, annonces et vidéos - Animation des comptes sur les réseaux sociaux (Facebook, Twitter) pour susciter un buzz constant - Relations presse avec envois d’informations aux journalistes locaux (journal Ouest France) - Gestion de la communication «print» : rédaction, conception, édition - Créations de maquettes publicitaires et publication directe dans un magazine touristique - Veille au maintien et à l’évolution de la stratégie de positionnement sur les réseaux sociaux - Mesurer la valeur des résultats des opérations marketing avec Google Analytics - Coordination de l’opération événementielle « Tous au Restaurant 2013» : conception d’une maquette publicitaire (via Mac) et diffusion d’emails ciblés",
"2013-11-01", "Freelance", "Chargé de Développement Marketing Digital", "", "alexandrehermouet", "2011-02-01", "j", "- Analyses stratégiques des plans tarifaires Européens et Africains (Orange AMEA) - Recommandations Marketing en conséquence - Activités de support auprès du Manager des ventes iPhone / Marketing Produit - Benchmarks réguliers & Veille concurrentielle internationale - Études du marché de la téléphonie mobile",
"2012-06-01", "Chambre de Commerce de l'Est de Montréal", "Coordonnateur du Service d'Aide à l'Exportation", "Non lucratif; 1-10 employés; secteur Nonprofit Organization Management", "alexandrehermouet", "2012-02-01", "j", "- Etude de Veille concurrentielle pour American Express - Participation à l’organisation et rédaction d’un “Research Proposal” pour Richemont Cartier > Interviews de Veille concurrentielle, Focus groups de consommateurs et Analyse stratégique des résultats - Recrutement et organisation d’un Focus group pour Unomedical (Industrie pharmaceutique) - Organisation d’un voyage d’affaire en Europe > Prospection client et mise en place de Partenariats en Espagne, Bulgarie, Roumanie, Pays Bas, Allemagne et France",
"2009-09-01", "Apple Inc.", "iPhone Carrier Junior Marketing Analyst", "Société cotée en bourse; 10 000 employés; AAPL; secteur Consumer Electronics", "alexandrehermouet", "2009-03-01", "j", "- Etudes de Marché sur la charcuterie en Allemagne et Belgique (Qualitatives et Quantitatives). - Prospection Distributeurs en Suisse (Marché des produits de la Mer Surgelés)",
"2007-06-01", "SIS International Research", "Assistant Chef de Projet", "Société à responsabilité limitée (SRL); 51-200 employés; secteur Market Research", "alexandrehermouet", "2007-03-01", "j", "- Gestion du Transport Aérien et Routier - Dédouanement",
"2006-06-01", "SAPA & SAS Gel", "Assistant Import/Export", "", "alexandrehermouet", "2006-01-01", "j", "- Gestion du Transport Aérien et Maritime - Dédouanement",
"", "Business School University of Huddersfield, UK", "Master of Science (MSc)", "International Business Management", "alexandrehermouet", "", "e", "",
"", "ENACOM", "BTS", "Commerce International", "alexandrehermouet", "", "e", "",
"2014-01-26", "'Starting a Tech Business'", "Author, Advisor, Instructor", "", "alexcowan", "2012-04-01", "j", "The non-technical guide to building a booming tech-enabled business Thinking of starting a technology-enabled business? Or maybe you just want to increase your technology mojo so you can do your job better? You do not need to learn programming to participate in the development of today’s hottest technologies. But there are a few easy-to-grasp foundation concepts that will help you engage with a technical team. ‘Starting a Tech Business’ explains in practical, actionable terms how to - Formulate and reality test new ideas - Package what you learn into frameworks that are highly actionable for engineers - Understand key foundation concepts about modern software and systems - Understand roles, responsibilities and evaluation criteria for technical teams - Participate in an agile/lean development team as the ‘voice of the customer’ - Integrate the practice of design thinking, Lean Startup, business model canvas, customer development, and agile in support of these objectives",
"2014-01-26", "Leonid Systems", "founder & CTO", "Privately Held; 11-50 employees; Information Technology and Services industry", "alexcowan", "2011-08-01", "j", "For over 15 years, Alex has been helping companies apply technology to increase their performance. Most recently, Alex served as Director of Professional Services at BroadSoft, a leading provider of VoIP application platforms. Prior to BroadSoft, Alex served as Director of Sales Engineering at SOMA Networks (WiMAX equipment provider). Before SOMA, Alex was a manager at Scout Electronics where he was responsible for product definition, customer experience, product promotion, and analytics. Alex began his career founding LinkLite Consulting, which now operates as GovPlace. Alex has experience in Chinese, Japanese, and Spanish-speaking operating environments. Alex is the author of Starting a Tech Business (John Wiley & Sons, 2012), a practical guide to understanding and applying high tech’s best practices. Alex studied Industrial Engineering and Economics at Stanford University.",
"2011-10-01", "Leonid Systems", "CEO", "Privately Held; 11-50 employees; Information Technology and Services industry", "alexcowan", "2007-05-01", "j", "Leonid provides IT solutions to communications service providers, including many of the world’s largest and most successful operators. • Set strategic direction for firm • Direct management of sales, engineering, operations, product development, and finance functions",
"2007", "BroadSoft", "Director of Professional Services", "Public Company; 501-1000 employees; BSFT; Telecommunications industry", "alexcowan", "2005", "j", "BroadSoft Provides VoIP application software to fixed and mobile operators worldwide, including 12 of the world’s 25 largest service providers. • Responsible for P&L of Broadsoft’s Professional Services business (Consulting, Training, and Documentation) • Designed, alpha-ed, and trained consulting staff on portfolio of services to accelerate BroadSoft’s core software business • Fundamentally redesigned core Systems Administration training based on updated customer skills assesement • Sold, structured, and managed to conclusion consulting engagements across all BroadSoft’s regions: Americas, EMEA, AsiaPac • Managed team of Engagement Managers, Consultants, Training Engineers, and customer Resident Engineers",
"2005", "SOMA Networks", "Director of Sales Engineering", "Privately Held; 51-200 employees; Telecommunications industry", "alexcowan", "2001", "j", "SOMA Networks designs and manufacturers an integrated broadband fixed wireless and softswitching system based on WCDMA and SIP. • Executed sales engineering for $72MM in contracts and $17MM in purchase orders. • Defined system design goals with customers and executed corresponding network designs across both radiofrequency and switching and routing systems. • Defined system verification criteria with customers then managed design and implementation of lab and field test plans with field and development engineering. • Developed and supported configuration and performance modeling tools for sales team. • Led interdisciplinary engineering team on definition, testing, and application to live networks of a comprehensive radio access network capacity model. • Executed ROI analysis on network investments for customers' strategy teams.",
"", "Stanford University", "High School", "Industrial Engineering", "alexcowan", "", "e", "",
"2014-01-26", "Volvo IT", "Mexico IT Site Manager", "Privately Held; 5001-10,000 employees; Information Technology and Services industry", "alexgalvao", "2014-01-01", "j", "- Manage Volvo IT’s relationship with customers in Latin and North America, orchestrating the dialogue between the customer and Volvo IT and establishing an effective working model with the customer - Support customer with developing IT plans and budgets - Develop, maintain and communicate an Account Plan for the customer aligned with customer plans and strategy - Establish sales budgets and forecasts in dialogue with the customer and concerned delivery organizations - Identifies and communicates customer demand - Pro-actively propose IT solutions and services that improve the customer’s business and operations and reduce their IT costs - Initiate Volvo IT deliveries according to agreed assignment agreement / customer order, ensuring proper handover of the agreement with the customer to delivery management - Ensure that Volvo IT fulfils customer agreements - Responsible for timely and accurate invoicing to the customer, including dispute resolution and collection - Responsible for establishing an effective network inside Volvo IT to be able to meet customer’s needs and expectations.",
"2014-01-01", "Volvo IT", "Senior Account Manager - LA", "Privately Held; 5001-10,000 employees; Information Technology and Services industry", "alexgalvao", "2012-05-01", "j", "- Voice Engineer of 2dn Level to IpT project in Volvo Group - Global voice resource working with Cisco Unified Communications Manager. - Co-Team Leader in Voice team, work with Team Leader helping him on managing tasks when its necessary - International Experience: - US - Índia - Sweden - Australia - Work remotely with all Volvo sites where exist IP Telephony. - Administrate a cluster with 14 servers and give directions to other clusters around the world. - Australia - Responsible for communications with final customers. I have achieved lot of results in a stress situation. - Design and implementation of test environments - Low and High Level Design, Troubleshooting in a live critical environment",
"2012-05-01", "Volvo IT", "Sr. Infrastructure Analyst", "Privately Held; 5001-10,000 employees; Information Technology and Services industry", "alexgalvao", "2010-05-01", "j", "- Support in routing switching with all kind of Cisco routers and switches, including Catalyst 6500, Cisco 4900 and others, - Homologation in new Cisco solutions like Cisco Works, Meeting Place, Cisco Digital Media Manager IPTV, - Responsible for the deploy process in the HSBC's biggest places, this project include 35.000+ ip phones in its totally, - Acting in a 3th engineering level team, contact with Cisco TAC and Cisco Advanced Services to solve all kind of problems, - Applying bug fixes to solve IOS problems and help HSBC Engineers to design new solutions.",
"2010-05-01", "Dimension Data", "Senior Infrastructure Analyst", "Privately Held; 10,001+ employees; DDT; Information Technology and Services industry", "alexgalvao", "2007-08-01", "j", "Establish whole company from scratch, hire technicians and sales force. Establish sales force and ensure to alignment with key business objectives Compiling a list of 30% more and 30% less important existing customers and implement this strategy Build sales agreements with customers Ensure with tech team to accomplish SLA's agreed with customers Involved in the day to day management of clients Maintaining contact with clients - giving them regular updates Oversee existing campaigns to grow key accounts Able to deliver results under pressure by bringing fresh thinking to a project and by fostering long term profitable relationships with key accounts.",
"2008", "ORION SOLUÇÕES EM TELECOMUNICAÇÕES", "Owner", "", "alexgalvao", "2006", "j", "- Professor in Network and Information System Graduation courses: - Netowork Projects - Network Monitoring - Security and Aditing of Systems - Information Technology - Professor and Coordinator of After Graduation Course – Configuring and Monitoring Wide Area Networks - Implementation of the Cisco Local Academy CESUMAR – MARINGA - Main Contact Professor - CCAI (Cisco Certified Academy Instructor) from a local academy of CESUMAR – MARINGA",
"2008", "CESUMAR - Centro Universitário Maringá", "Professor", "", "alexgalvao", "2006", "j", "- Local implementation of educational computer field - Elaboration and implementation of the Computer Technician's course, - Implementation of the Local Cisco Networking Academy, - Main Contact Professor's of Local Cisco Academy – SENAI – PR/CASCAVEL",
"2006", "SENAI", "Techinical Instructor", "Privately Held; 5001-10,000 employees; Civic & Social Organization industry", "alexgalvao", "1998", "j", " Full responsibilities for profit and loss, new listing, company objectives and targets for major accounts such government and universities.  Accountable for trade and wholesale sector  Establish business strategy  Ensure to have the sales force to achieve strong results in terms of sales.  Implement strategy one-to-one basis with customers  Develop existing accounts after identify risks to renewals",
"", "UNIVEL - União Academica de Cascavel", "Appicated Computing", "Telecomunications", "alexgalvao", "", "e", "",
"", "Universidade Estadual do Oeste do Paraná", "Bussiness Administration", "Business", "alexgalvao", "", "e", "",
"2014-01-26", "Two Six Code", "Web developer and owner", "", "alexkendrick", "2006-01-01", "j", "* html/css * jQuery * ExpressionEngine * PHP/MySQL * Project management",
"", "University of Wisconsin-Madison", "Master of Science (MS)", "Entomology", "alexkendrick", "", "e", "",
"2014-01-26", "Nomad Editing Company, Inc", "Producer", "Privately Held; 11-50 employees; Motion Pictures and Film industry", "aliciacargile", "2013-07-01", "j", "Producing for the FX & editorial divisions of Sunset Edit Studios located in Hollywood. Projects included the music videos for "Crazy Kids" by Ke$ha, "Love Somebody" by Maroon 5, "If So" by Atlas Genius, "Tears Always Win" by Alicia Keys & more.",
"2013-07-01", "Sunset Editorial", "Producer / Post Production Manager", "", "aliciacargile", "2013-04-01", "j", "Producing for the CO3 VFX department.",
